Timestamp,Repository,Capability,Action,User,Date,Environment,Cross-Ref ID,Associated PR,ID,Message,Branch Duration (Hours),Review Time (Hours),LOC Changed,PR Size (Commits),Target Branch,Time to First Review (Hours),Review Comments Count,Requested Reviewers
2026-02-23 00:45:27,Repo-Beta-03,Cap-Storage,Merge (PR),dev_acc_5,2026-02-23T00:45:27.502Z,Production,CHG1234,PR #48,PR #69,Mock PR message,13.55,13.55,12.2,107,main,9.15,2,"reviewer_1, reviewer_2"
2026-02-23 00:45:27,Repo-Beta-03,Cap-Storage,Workflow Run (success),svc_bot,2026-02-23T00:45:27.502Z,Production,,,Run #187,Deploy to Prod,,,,,main,,,
2026-02-23 00:45:27,Repo-Gamma-01,Cap-Ingestion,Commit,User_7761,2026-02-23T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-23 00:45:27,Repo-Gamma-01,Cap-Ingestion,Merge (PR),dev_acc_6,2026-02-23T00:45:27.502Z,Production,CHG1234,PR #23,PR #50,Mock PR message,0.15,0.15,83.2,114,main,0.95,3,"reviewer_1, reviewer_2"
2026-02-23 00:45:27,Repo-Gamma-01,Cap-Ingestion,Workflow Run (success),svc_bot,2026-02-23T00:45:27.502Z,Production,,,Run #166,Deploy to Prod,,,,,main,,,
2026-02-23 00:45:27,Repo-Gamma-02,Cap-Ingestion,Commit,User_2290,2026-02-23T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-23 00:45:27,Repo-Gamma-02,Cap-Ingestion,Merge (PR),dev_acc_7,2026-02-23T00:45:27.502Z,Production,CHG1234,PR #15,PR #63,Mock PR message,8.25,8.25,236.3,6,main,5.95,3,"reviewer_1, reviewer_2"
2026-02-23 00:45:27,Repo-Gamma-02,Cap-Ingestion,Workflow Run (success),svc_bot,2026-02-23T00:45:27.502Z,Production,,,Run #196,Deploy to Prod,,,,,main,,,
2026-02-23 00:45:27,Repo-Delta-01,Cap-Reporting,Commit,User_4431,2026-02-23T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-23 00:45:27,Repo-Delta-01,Cap-Reporting,Merge (PR),dev_acc_8,2026-02-23T00:45:27.502Z,Production,CHG1234,PR #62,PR #85,Mock PR message,0.31,0.31,11.9,107,main,7.55,2,"reviewer_1, reviewer_2"
2026-02-23 00:45:27,Repo-Delta-01,Cap-Reporting,Workflow Run (success),svc_bot,2026-02-23T00:45:27.502Z,Production,,,Run #885,Deploy to Prod,,,,,main,,,
2026-02-23 00:45:27,Repo-Alpha-05,Cap-Core,Commit,User_9122,2026-02-23T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-23 00:45:27,Repo-Alpha-05,Cap-Core,Workflow Run (success),svc_bot,2026-02-23T00:45:27.502Z,Production,,,Run #210,Deploy to Prod,,,,,main,,,
2026-02-23 00:45:27,Repo-Alpha-06,Cap-Core,Commit,User_9122,2026-02-23T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-23 00:45:27,Repo-Alpha-06,Cap-Core,Workflow Run (success),svc_bot,2026-02-23T00:45:27.502Z,Production,,,Run #583,Deploy to Prod,,,,,main,,,
2026-02-24 00:45:27,Repo-Alpha-01,Cap-Core,Commit,User_8472,2026-02-24T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-24 00:45:27,Repo-Alpha-01,Cap-Core,Merge (PR),dev_acc_1,2026-02-24T00:45:27.502Z,Production,CHG1234,PR #58,PR #15,Mock PR message,2.80,2.80,136.8,76,main,3.58,4,"reviewer_1, reviewer_2"
2026-02-24 00:45:27,Repo-Alpha-01,Cap-Core,Workflow Run (success),svc_bot,2026-02-24T00:45:27.502Z,Production,,,Run #604,Deploy to Prod,,,,,main,,,
2026-02-24 00:45:27,Repo-Alpha-02,Cap-Core,Commit,User_9122,2026-02-24T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-24 00:45:27,Repo-Alpha-02,Cap-Core,Merge (PR),dev_acc_2,2026-02-24T00:45:27.502Z,Production,CHG1234,PR #29,PR #6,Mock PR message,0.63,0.63,324.3,93,main,8.11,1,"reviewer_1, reviewer_2"
2026-02-24 00:45:27,Repo-Alpha-02,Cap-Core,Workflow Run (success),svc_bot,2026-02-24T00:45:27.502Z,Production,,,Run #171,Deploy to Prod,,,,,main,,,
2026-02-24 00:45:27,Repo-Alpha-03,Cap-Core,Commit,User_9122,2026-02-24T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-24 00:45:27,Repo-Alpha-03,Cap-Core,Merge (PR),dev_acc_2,2026-02-24T00:45:27.502Z,Production,CHG1234,PR #30,PR #72,Mock PR message,0.34,0.34,20.0,106,main,10.70,3,"reviewer_1, reviewer_2"
2026-02-24 00:45:27,Repo-Alpha-03,Cap-Core,Workflow Run (success),svc_bot,2026-02-24T00:45:27.502Z,Production,,,Run #370,Deploy to Prod,,,,,main,,,
2026-02-24 00:45:27,Repo-Alpha-04,Cap-Core,Commit,EDP_Team,2026-02-24T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-24 00:45:27,Repo-Alpha-04,Cap-Core,Workflow Run (success),svc_bot,2026-02-24T00:45:27.502Z,Production,,,Run #142,Deploy to Prod,,,,,main,,,
2026-02-24 00:45:27,Repo-Beta-01,Cap-Storage,Commit,User_1055,2026-02-24T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-24 00:45:27,Repo-Beta-01,Cap-Storage,Merge (PR),dev_acc_4,2026-02-24T00:45:27.502Z,Production,CHG1234,PR #53,PR #24,Mock PR message,2.15,2.15,71.9,111,main,4.99,4,"reviewer_1, reviewer_2"
2026-02-24 00:45:27,Repo-Beta-01,Cap-Storage,Workflow Run (success),svc_bot,2026-02-24T00:45:27.502Z,Production,,,Run #981,Deploy to Prod,,,,,main,,,
2026-02-24 00:45:27,Repo-Beta-03,Cap-Storage,Commit,User_3341,2026-02-24T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-24 00:45:27,Repo-Beta-03,Cap-Storage,Merge (PR),dev_acc_5,2026-02-24T00:45:27.502Z,Production,CHG1234,PR #14,PR #85,Mock PR message,10.30,10.30,9.3,82,main,5.79,2,"reviewer_1, reviewer_2"
2026-02-24 00:45:27,Repo-Beta-03,Cap-Storage,Workflow Run (success),svc_bot,2026-02-24T00:45:27.502Z,Production,,,Run #129,Deploy to Prod,,,,,main,,,
2026-02-24 00:45:27,Repo-Gamma-01,Cap-Ingestion,Commit,User_7761,2026-02-24T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-24 00:45:27,Repo-Gamma-01,Cap-Ingestion,Merge (PR),dev_acc_6,2026-02-24T00:45:27.502Z,Production,CHG1234,PR #38,PR #14,Mock PR message,0.14,0.14,78.1,107,main,8.39,2,"reviewer_1, reviewer_2"
2026-02-24 00:45:27,Repo-Gamma-01,Cap-Ingestion,Workflow Run (success),svc_bot,2026-02-24T00:45:27.502Z,Production,,,Run #812,Deploy to Prod,,,,,main,,,
2026-02-24 00:45:27,Repo-Gamma-02,Cap-Ingestion,Commit,User_2290,2026-02-24T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-24 00:45:27,Repo-Gamma-02,Cap-Ingestion,Merge (PR),dev_acc_7,2026-02-24T00:45:27.502Z,Production,CHG1234,PR #2,PR #52,Mock PR message,10.50,10.50,300.8,8,main,5.79,2,"reviewer_1, reviewer_2"
2026-02-24 00:45:27,Repo-Gamma-02,Cap-Ingestion,Workflow Run (success),svc_bot,2026-02-24T00:45:27.502Z,Production,,,Run #117,Deploy to Prod,,,,,main,,,
2026-02-24 00:45:27,Repo-Delta-01,Cap-Reporting,Commit,User_4431,2026-02-24T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-24 00:45:27,Repo-Delta-01,Cap-Reporting,Merge (PR),dev_acc_8,2026-02-24T00:45:27.502Z,Production,CHG1234,PR #70,PR #73,Mock PR message,0.24,0.24,9.2,82,main,0.97,1,"reviewer_1, reviewer_2"
2026-02-24 00:45:27,Repo-Delta-01,Cap-Reporting,Workflow Run (success),svc_bot,2026-02-24T00:45:27.502Z,Production,,,Run #660,Deploy to Prod,,,,,main,,,
2026-02-24 00:45:27,Repo-Alpha-05,Cap-Core,Commit,User_9122,2026-02-24T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-24 00:45:27,Repo-Alpha-05,Cap-Core,Workflow Run (success),svc_bot,2026-02-24T00:45:27.502Z,Production,,,Run #479,Deploy to Prod,,,,,main,,,
2026-02-24 00:45:27,Repo-Alpha-06,Cap-Core,Commit,User_9122,2026-02-24T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-24 00:45:27,Repo-Alpha-06,Cap-Core,Workflow Run (success),svc_bot,2026-02-24T00:45:27.502Z,Production,,,Run #987,Deploy to Prod,,,,,main,,,
2026-02-25 00:45:27,Repo-Alpha-01,Cap-Core,Commit,User_8472,2026-02-25T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-25 00:45:27,Repo-Alpha-01,Cap-Core,Merge (PR),dev_acc_1,2026-02-25T00:45:27.502Z,Production,CHG1234,PR #84,PR #41,Mock PR message,3.18,3.18,155.1,86,main,5.82,2,"reviewer_1, reviewer_2"
2026-02-25 00:45:27,Repo-Alpha-01,Cap-Core,Workflow Run (success),svc_bot,2026-02-25T00:45:27.502Z,Production,,,Run #846,Deploy to Prod,,,,,main,,,
2026-02-25 00:45:27,Repo-Alpha-02,Cap-Core,Commit,User_9122,2026-02-25T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-25 00:45:27,Repo-Alpha-02,Cap-Core,Merge (PR),dev_acc_2,2026-02-25T00:45:27.502Z,Production,CHG1234,PR #29,PR #75,Mock PR message,0.58,0.58,297.9,86,main,1.40,4,"reviewer_1, reviewer_2"
2026-02-25 00:45:27,Repo-Alpha-02,Cap-Core,Workflow Run (success),svc_bot,2026-02-25T00:45:27.502Z,Production,,,Run #291,Deploy to Prod,,,,,main,,,
2026-02-25 00:45:27,Repo-Alpha-03,Cap-Core,Commit,User_9122,2026-02-25T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-25 00:45:27,Repo-Alpha-03,Cap-Core,Merge (PR),dev_acc_2,2026-02-25T00:45:27.502Z,Production,CHG1234,PR #33,PR #17,Mock PR message,0.38,0.38,22.2,118,main,6.70,3,"reviewer_1, reviewer_2"
2026-02-25 00:45:27,Repo-Alpha-03,Cap-Core,Workflow Run (success),svc_bot,2026-02-25T00:45:27.502Z,Production,,,Run #685,Deploy to Prod,,,,,main,,,
2026-02-25 00:45:27,Repo-Alpha-04,Cap-Core,Commit,EDP_Team,2026-02-25T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-25 00:45:27,Repo-Alpha-04,Cap-Core,Workflow Run (success),svc_bot,2026-02-25T00:45:27.502Z,Production,,,Run #817,Deploy to Prod,,,,,main,,,
2026-02-25 00:45:27,Repo-Beta-01,Cap-Storage,Commit,User_1055,2026-02-25T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-25 00:45:27,Repo-Beta-01,Cap-Storage,Merge (PR),dev_acc_4,2026-02-25T00:45:27.502Z,Production,CHG1234,PR #30,PR #19,Mock PR message,1.92,1.92,64.3,99,main,11.70,2,"reviewer_1, reviewer_2"
2026-02-25 00:45:27,Repo-Beta-01,Cap-Storage,Workflow Run (success),svc_bot,2026-02-25T00:45:27.502Z,Production,,,Run #901,Deploy to Prod,,,,,main,,,
2026-02-25 00:45:27,Repo-Beta-03,Cap-Storage,Commit,User_3341,2026-02-25T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-25 00:45:27,Repo-Beta-03,Cap-Storage,Merge (PR),dev_acc_5,2026-02-25T00:45:27.502Z,Production,CHG1234,PR #24,PR #17,Mock PR message,14.22,14.22,12.8,113,main,2.78,2,"reviewer_1, reviewer_2"
2026-02-25 00:45:27,Repo-Beta-03,Cap-Storage,Workflow Run (success),svc_bot,2026-02-25T00:45:27.502Z,Production,,,Run #873,Deploy to Prod,,,,,main,,,
2026-02-25 00:45:27,Repo-Gamma-01,Cap-Ingestion,Commit,User_7761,2026-02-25T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-25 00:45:27,Repo-Gamma-01,Cap-Ingestion,Merge (PR),dev_acc_6,2026-02-25T00:45:27.502Z,Production,CHG1234,PR #64,PR #75,Mock PR message,0.13,0.13,75.2,103,main,7.86,5,"reviewer_1, reviewer_2"
2026-02-25 00:45:27,Repo-Gamma-01,Cap-Ingestion,Workflow Run (success),svc_bot,2026-02-25T00:45:27.502Z,Production,,,Run #480,Deploy to Prod,,,,,main,,,
2026-02-25 00:45:27,Repo-Gamma-02,Cap-Ingestion,Commit,User_2290,2026-02-25T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-25 00:45:27,Repo-Gamma-02,Cap-Ingestion,Merge (PR),dev_acc_7,2026-02-25T00:45:27.502Z,Production,CHG1234,PR #28,PR #46,Mock PR message,8.20,8.20,234.9,6,main,2.14,1,"reviewer_1, reviewer_2"
2026-02-25 00:45:27,Repo-Gamma-02,Cap-Ingestion,Workflow Run (success),svc_bot,2026-02-25T00:45:27.502Z,Production,,,Run #305,Deploy to Prod,,,,,main,,,
2026-02-25 00:45:27,Repo-Delta-01,Cap-Reporting,Commit,User_4431,2026-02-25T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-25 00:45:27,Repo-Delta-01,Cap-Reporting,Merge (PR),dev_acc_8,2026-02-25T00:45:27.502Z,Production,CHG1234,PR #78,PR #23,Mock PR message,0.28,0.28,11.0,98,main,8.10,2,"reviewer_1, reviewer_2"
2026-02-25 00:45:27,Repo-Delta-01,Cap-Reporting,Workflow Run (success),svc_bot,2026-02-25T00:45:27.502Z,Production,,,Run #579,Deploy to Prod,,,,,main,,,
2026-02-25 00:45:27,Repo-Alpha-05,Cap-Core,Commit,User_9122,2026-02-25T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-25 00:45:27,Repo-Alpha-05,Cap-Core,Workflow Run (success),svc_bot,2026-02-25T00:45:27.502Z,Production,,,Run #762,Deploy to Prod,,,,,main,,,
2026-02-25 00:45:27,Repo-Alpha-06,Cap-Core,Commit,User_9122,2026-02-25T00:45:27.502Z,Production,CHG1234,,a1b2c3d,Mock commit message,,,,,,,,
2026-02-25 00:45:27,Repo-Alpha-06,Cap-Core,Workflow Run (success),svc_bot,2026-02-25T00:45:27.502Z,Production,,,Run #104,Deploy to Prod,,,,,main,,,
