Repository,AppCode,Capability,Repo Type,Verification Status,Timestamp Verification,Total Commits,Total Merged PRs,Distinct Committers Count,Distinct PR Authors Count,Last Commit Date,Last PR Date,Last Workflow Date,Avg Branch Duration (Hours),Avg Coding Time (Hours),Avg Review Time (Hours),Avg LOC Changed,Avg Review Time / LOC,MTTR-Sec (Hours),Successful Deployments,Avg Review Comments per PR,Avg Wait Time for First Review (Hours),Avg PR Description Length (Chars),Small to Large PR Ratio,Change Failure Rate (%),True Lead Time for Changes (Hours),Lead Time to Production (Days),CI/CD Failure Rate (%),CI/CD Avg Execution Time (Mins),Avg Code Churn (Commits),Test Code Ratio (%),Coding Velocity (LOC/Hr),SQ Security Rating,SQ Technical Debt (Days),SQ Code Smells,SQ Vulnerabilities,SQ Unit Tests,CT.yml Exists,CT.yml Has Runs,CT.yml Last Run,Environment,Timestamp
Repo-Alpha-05,Unknown,Cap-Core,Infrastructure,OK,Match,1,0,13,2,2026-02-19T00:45:27.502Z,,2026-02-19T00:45:27.502Z,0.64,0.00,0.64,326.6,0.0020,12.05,8,3.08,5.48,177,2.07,2.10,0,0,0.04,10.77,0.96,0,0,B,15.9,57,5,97,No,No,N/A,Production,2026-02-19 00:45:27
Repo-Alpha-06,Unknown,Cap-Core,Infrastructure,OK,Match,1,0,18,2,2026-02-19T00:45:27.502Z,,2026-02-19T00:45:27.502Z,0.30,0.00,0.30,17.5,0.0170,40.11,10,1.85,6.23,207,1.88,2.21,0,0,4.53,7.73,1.97,0,0,A,24.3,63,0,480,No,No,N/A,Production,2026-02-19 00:45:27
Repo-Alpha-01,Unknown,Cap-Core,Application,OK,New Repos,60,5,9,1,2026-02-20T00:45:27.502Z,2026-02-20T00:45:27.502Z,2026-02-20T00:45:27.502Z,2.22,0.00,2.22,108.5,0.0205,19.19,5,2.41,5.18,268,0.47,1.38,3.33,46.33,5.81,9.61,1.58,12.91,49.03,A,24.3,122,0,50,No,No,N/A,Production,2026-02-20 00:45:27
Repo-Alpha-02,Unknown,Cap-Core,Infrastructure,OK,New Repos,95,5,9,2,2026-02-20T00:45:27.502Z,2026-02-20T00:45:27.502Z,2026-02-20T00:45:27.502Z,0.65,0.00,0.65,329.9,0.0020,30.26,17,4.66,8.92,269,1.11,0.45,0.97,53.81,2.41,13.13,0.89,14.99,56.94,A,18.9,21,0,341,No,No,N/A,Production,2026-02-20 00:45:27
Repo-Alpha-03,Unknown,Cap-Core,Infrastructure,OK,New Repos,81,5,10,2,2026-02-20T00:45:27.502Z,2026-02-20T00:45:27.502Z,2026-02-20T00:45:27.502Z,0.26,0.00,0.26,15.2,0.0170,4.00,16,1.67,0.46,114,0.88,2.67,0.39,45.71,7.92,11.36,0.11,12.74,48.37,A,3.1,52,0,405,No,No,N/A,Production,2026-02-20 00:45:27
Repo-Alpha-04,Unknown,Cap-Core,Application,OK,New Repos,5,0,2,0,2026-02-20T00:45:27.502Z,,2026-02-20T00:45:27.502Z,0.00,0.00,0.00,0.0,0.0000,38.92,5,0,0,0,0,3.65,0,0,3.29,3.86,0,0,0,A,34.3,21,0,409,No,No,N/A,Production,2026-02-20 00:45:27
Repo-Beta-01,Unknown,Cap-Storage,Infrastructure,OK,New Repos,113,5,12,3,2026-02-20T00:45:27.502Z,2026-02-20T00:45:27.502Z,2026-02-20T00:45:27.502Z,2.18,0.00,2.18,73.0,0.0299,46.70,9,3.85,7.41,439,2.55,1.72,3.27,64.04,4.44,7.09,1.03,17.85,67.77,A,23.6,169,0,175,No,No,N/A,Production,2026-02-20 00:45:27
Repo-Beta-02,Unknown,Cap-Storage,Unknown,OK,New Repos,0,0,0,0,,,2026-02-20T00:45:27.502Z,0.00,0.00,0.00,0.0,0.0000,0,0,0,0,0,0,0,0,0,5.16,12.46,0,0,0,B,10.5,109,1,269,No,No,N/A,Production,2026-02-20 00:45:27
Repo-Beta-03,Unknown,Cap-Storage,Infrastructure,OK,New Repos,115,5,4,2,2026-02-20T00:45:27.502Z,2026-02-20T00:45:27.502Z,2026-02-20T00:45:27.502Z,14.47,0.00,14.47,13.1,1.1079,37.49,23,4.53,5.08,570,0.69,0.36,21.71,64.98,9.90,14.10,1.24,18.11,68.76,B,11.0,78,5,496,No,No,N/A,Production,2026-02-20 00:45:27
Repo-Gamma-01,Unknown,Cap-Ingestion,Infrastructure,OK,New Repos,109,5,7,1,2026-02-20T00:45:27.502Z,2026-02-20T00:45:27.502Z,2026-02-20T00:45:27.502Z,0.14,0.00,0.14,79.0,0.0018,19.20,4,2.52,3.55,449,1.07,3.42,0.21,61.54,10.16,15.44,1.81,17.15,65.12,A,22.1,37,0,275,No,No,N/A,Production,2026-02-20 00:45:27
Repo-Gamma-02,Unknown,Cap-Ingestion,Application,OK,New Repos,8,2,5,2,2026-02-20T00:45:27.502Z,2026-02-20T00:45:27.502Z,2026-02-20T00:45:27.502Z,11.34,0.00,11.34,324.8,0.0349,24.24,22,3.72,8.14,261,3.47,0.32,17.01,66.97,5.52,14.04,2.39,18.66,70.86,A,23.1,140,0,161,No,No,N/A,Production,2026-02-20 00:45:27
Repo-Delta-01,Unknown,Cap-Reporting,Infrastructure,OK,Match,91,5,9,1,2026-02-20T00:45:27.502Z,2026-02-20T00:45:27.502Z,2026-02-20T00:45:27.502Z,0.26,0.00,0.26,10.2,0.0259,15.15,4,4.27,10.87,450,2.00,1.14,0.40,51.68,5.40,11.29,2.14,14.40,54.68,A,25.4,85,0,529,No,No,N/A,Production,2026-02-20 00:45:27
Repo-Alpha-05,Unknown,Cap-Core,Infrastructure,OK,Match,1,0,13,2,2026-02-20T00:45:27.502Z,,2026-02-20T00:45:27.502Z,0.74,0.00,0.74,380.8,0.0020,17.46,5,3.53,1.71,234,2.73,1.12,0,0,4.71,14.07,2.05,0,0,A,12.6,119,0,223,No,No,N/A,Production,2026-02-20 00:45:27
Repo-Alpha-06,Unknown,Cap-Core,Infrastructure,OK,Match,1,0,18,2,2026-02-20T00:45:27.502Z,,2026-02-20T00:45:27.502Z,0.28,0.00,0.28,16.6,0.0170,38.02,9,2.99,3.43,275,2.25,3.21,0,0,3.88,13.19,1.30,0,0,A,39.6,68,0,435,No,No,N/A,Production,2026-02-20 00:45:27
Repo-Alpha-01,Unknown,Cap-Core,Application,OK,New Repos,71,5,9,1,2026-02-21T00:45:27.502Z,2026-02-21T00:45:27.502Z,2026-02-21T00:45:27.502Z,2.59,0.00,2.59,126.6,0.0205,35.15,2,4.44,7.08,420,1.07,1.19,3.89,50.92,2.83,6.99,0.19,20.60,76.28,A,39.5,196,0,187,No,No,N/A,Production,2026-02-21 00:45:27
Repo-Alpha-02,Unknown,Cap-Core,Infrastructure,OK,New Repos,109,5,9,2,2026-02-21T00:45:27.502Z,2026-02-21T00:45:27.502Z,2026-02-21T00:45:27.502Z,0.74,0.00,0.74,377.7,0.0020,45.67,3,4.35,9.25,75,1.35,0.95,1.11,58.02,7.43,2.97,1.34,23.47,86.93,A,0.7,168,0,52,No,No,N/A,Production,2026-02-21 00:45:27
Repo-Alpha-03,Unknown,Cap-Core,Infrastructure,OK,New Repos,98,5,10,2,2026-02-21T00:45:27.502Z,2026-02-21T00:45:27.502Z,2026-02-21T00:45:27.502Z,0.31,0.00,0.31,18.4,0.0170,16.64,12,1.27,2.75,212,2.33,3.77,0.47,52.34,9.32,13.24,1.23,21.17,78.41,C,34.3,56,3,447,No,No,N/A,Production,2026-02-21 00:45:27
Repo-Alpha-04,Unknown,Cap-Core,Application,OK,New Repos,4,0,2,0,2026-02-21T00:45:27.502Z,,2026-02-21T00:45:27.502Z,0.00,0.00,0.00,0.0,0.0000,7.73,16,0,0,0,0,2.09,0,0,2.88,2.75,0,0,0,B,23.0,167,4,191,No,No,N/A,Production,2026-02-21 00:45:27
Repo-Beta-01,Unknown,Cap-Storage,Infrastructure,OK,New Repos,114,5,12,3,2026-02-21T00:45:27.502Z,2026-02-21T00:45:27.502Z,2026-02-21T00:45:27.502Z,2.20,0.00,2.20,73.8,0.0299,33.03,1,4.23,7.87,466,1.45,5.26,3.31,60.98,2.55,13.37,1.35,24.67,91.36,C,37.7,43,3,392,No,No,N/A,Production,2026-02-21 00:45:27
Repo-Beta-02,Unknown,Cap-Storage,Unknown,OK,New Repos,0,0,0,0,,,2026-02-21T00:45:27.502Z,0.00,0.00,0.00,0.0,0.0000,0,0,0,0,0,0,0,0,0,5.04,1.09,0,0,0,B,16.4,160,3,243,No,No,N/A,Production,2026-02-21 00:45:27
Repo-Beta-03,Unknown,Cap-Storage,Infrastructure,OK,New Repos,118,5,4,2,2026-02-21T00:45:27.502Z,2026-02-21T00:45:27.502Z,2026-02-21T00:45:27.502Z,14.93,0.00,14.93,13.5,1.1079,55.49,18,3.84,1.26,353,2.13,0.53,22.39,63.12,3.31,16.31,1.64,25.53,94.56,B,5.9,21,3,184,No,No,N/A,Production,2026-02-21 00:45:27
Repo-Gamma-01,Unknown,Cap-Ingestion,Infrastructure,OK,New Repos,85,5,7,1,2026-02-21T00:45:27.502Z,2026-02-21T00:45:27.502Z,2026-02-21T00:45:27.502Z,0.11,0.00,0.11,62.2,0.0018,29.12,3,2.60,1.73,297,1.85,1.49,0.17,45.62,4.57,8.57,1.96,18.45,68.34,C,18.0,36,3,149,No,No,N/A,Production,2026-02-21 00:45:27
Repo-Gamma-02,Unknown,Cap-Ingestion,Application,OK,New Repos,8,2,5,2,2026-02-21T00:45:27.502Z,2026-02-21T00:45:27.502Z,2026-02-21T00:45:27.502Z,11.06,0.00,11.06,316.8,0.0349,45.44,15,1.83,4.35,404,2.51,3.51,16.59,61.51,0.51,12.29,1.96,24.88,92.15,B,7.2,97,3,336,No,No,N/A,Production,2026-02-21 00:45:27
Repo-Delta-01,Unknown,Cap-Reporting,Infrastructure,OK,Match,81,5,9,1,2026-02-21T00:45:27.502Z,2026-02-21T00:45:27.502Z,2026-02-21T00:45:27.502Z,0.23,0.00,0.23,9.0,0.0259,28.13,5,1.40,2.92,69,1.50,0.86,0.35,43.12,0.00,10.03,1.90,17.44,64.59,C,2.9,25,1,328,No,No,N/A,Production,2026-02-21 00:45:27
Repo-Alpha-05,Unknown,Cap-Core,Infrastructure,OK,Match,1,0,13,2,2026-02-21T00:45:27.502Z,,2026-02-21T00:45:27.502Z,0.77,0.00,0.77,392.4,0.0020,14.95,16,2.13,1.22,95,3.06,5.60,0,0,2.22,14.08,0.96,0,0,B,39.2,99,2,340,No,No,N/A,Production,2026-02-21 00:45:27
Repo-Alpha-06,Unknown,Cap-Core,Infrastructure,OK,Match,1,0,18,2,2026-02-21T00:45:27.502Z,,2026-02-21T00:45:27.502Z,0.27,0.00,0.27,15.7,0.0170,21.01,1,1.83,0.55,160,1.77,1.28,0,0,7.31,5.29,0.63,0,0,A,39.3,6,0,329,No,No,N/A,Production,2026-02-21 00:45:27
Repo-Alpha-01,Unknown,Cap-Core,Application,OK,New Repos,80,5,9,1,2026-02-22T00:45:27.502Z,2026-02-22T00:45:27.502Z,2026-02-22T00:45:27.502Z,2.94,0.00,2.94,143.6,0.0205,50.81,11,3.08,10.04,101,2.40,4.24,4.41,54.19,3.57,11.46,1.72,29.64,108.16,B,0.0,199,4,109,No,No,N/A,Production,2026-02-22 00:45:27
Repo-Alpha-02,Unknown,Cap-Core,Infrastructure,OK,New Repos,90,5,9,2,2026-02-22T00:45:27.502Z,2026-02-22T00:45:27.502Z,2026-02-22T00:45:27.502Z,0.61,0.00,0.61,311.8,0.0020,38.39,12,2.31,4.51,205,2.26,0.44,0.91,44.94,0.04,12.42,1.61,24.58,89.69,A,6.3,108,0,346,No,No,N/A,Production,2026-02-22 00:45:27
Repo-Alpha-03,Unknown,Cap-Core,Infrastructure,OK,New Repos,90,5,10,2,2026-02-22T00:45:27.502Z,2026-02-22T00:45:27.502Z,2026-02-22T00:45:27.502Z,0.29,0.00,0.29,17.0,0.0170,3.89,4,3.49,9.96,318,1.83,0.48,0.43,45.29,4.75,11.51,2.14,24.77,90.39,C,20.2,37,1,478,No,No,N/A,Production,2026-02-22 00:45:27
Repo-Alpha-04,Unknown,Cap-Core,Application,OK,New Repos,4,0,2,0,2026-02-22T00:45:27.502Z,,2026-02-22T00:45:27.502Z,0.00,0.00,0.00,0.0,0.0000,50.22,5,0,0,0,0,0.71,0,0,5.86,15.19,0,0,0,C,25.5,109,5,423,No,No,N/A,Production,2026-02-22 00:45:27
Repo-Beta-01,Unknown,Cap-Storage,Infrastructure,OK,New Repos,92,5,12,3,2026-02-22T00:45:27.502Z,2026-02-22T00:45:27.502Z,2026-02-22T00:45:27.502Z,1.77,0.00,1.77,59.4,0.0299,22.63,5,2.42,2.77,370,1.83,1.40,2.66,46.05,4.83,10.36,0.58,25.18,91.91,A,16.2,11,0,324,No,No,N/A,Production,2026-02-22 00:45:27
Repo-Beta-02,Unknown,Cap-Storage,Unknown,OK,New Repos,0,0,0,0,,,2026-02-22T00:45:27.502Z,0.00,0.00,0.00,0.0,0.0000,0,0,0,0,0,0,0,0,0,7.90,16.64,0,0,0,B,24.3,119,5,350,No,No,N/A,Production,2026-02-22 00:45:27
Repo-Beta-03,Unknown,Cap-Storage,Infrastructure,OK,New Repos,90,5,4,2,2026-02-22T00:45:27.502Z,2026-02-22T00:45:27.502Z,2026-02-22T00:45:27.502Z,11.32,0.00,11.32,10.2,1.1079,40.84,16,2.40,7.47,217,1.85,3.92,16.98,44.91,5.58,13.40,1.70,24.56,89.63,A,3.2,103,0,374,No,No,N/A,Production,2026-02-22 00:45:27
Repo-Gamma-01,Unknown,Cap-Ingestion,Infrastructure,OK,New Repos,118,5,7,1,2026-02-22T00:45:27.502Z,2026-02-22T00:45:27.502Z,2026-02-22T00:45:27.502Z,0.15,0.00,0.15,85.9,0.0018,13.35,15,3.74,2.71,405,1.82,3.07,0.23,59.13,3.65,4.67,0.92,32.34,118.02,A,15.7,80,0,76,No,No,N/A,Production,2026-02-22 00:45:27
Repo-Gamma-02,Unknown,Cap-Ingestion,Application,OK,New Repos,8,2,5,2,2026-02-22T00:45:27.502Z,2026-02-22T00:45:27.502Z,2026-02-22T00:45:27.502Z,11.48,0.00,11.48,328.8,0.0349,19.45,2,2.53,8.02,322,0.83,4.40,17.22,59.90,3.31,8.45,0.43,32.76,119.57,B,11.7,48,5,146,No,No,N/A,Production,2026-02-22 00:45:27
Repo-Delta-01,Unknown,Cap-Reporting,Infrastructure,OK,Match,113,5,9,1,2026-02-22T00:45:27.502Z,2026-02-22T00:45:27.502Z,2026-02-22T00:45:27.502Z,0.33,0.00,0.33,12.6,0.0259,27.09,5,1.36,13.31,508,1.65,0.20,0.49,56.39,9.39,11.27,0.18,30.84,112.55,C,24.3,185,1,516,No,No,N/A,Production,2026-02-22 00:45:27
Repo-Alpha-05,Unknown,Cap-Core,Infrastructure,OK,Match,1,0,13,2,2026-02-22T00:45:27.502Z,,2026-02-22T00:45:27.502Z,0.74,0.00,0.74,379.1,0.0020,17.82,7,2.07,1.84,59,1.78,2.45,0,0,1.18,14.29,2.37,0,0,B,29.2,138,5,109,No,No,N/A,Production,2026-02-22 00:45:27
Repo-Alpha-06,Unknown,Cap-Core,Infrastructure,OK,Match,1,0,18,2,2026-02-22T00:45:27.502Z,,2026-02-22T00:45:27.502Z,0.36,0.00,0.36,21.4,0.0170,35.91,3,5.50,12.41,432,3.05,4.58,0,0,10.48,8.90,0.14,0,0,A,37.4,173,0,443,No,No,N/A,Production,2026-02-22 00:45:27
Repo-Alpha-01,Unknown,Cap-Core,Application,OK,New Repos,70,5,9,1,2026-02-23T00:45:27.502Z,2026-02-23T00:45:27.502Z,2026-02-23T00:45:27.502Z,2.58,0.00,2.58,126.1,0.0205,45.03,17,4.73,1.69,382,1.00,1.92,3.88,44.45,6.09,11.49,1.47,31.54,113.98,B,32.9,106,1,515,No,No,N/A,Production,2026-02-23 00:45:27
Repo-Alpha-02,Unknown,Cap-Core,Infrastructure,OK,New Repos,106,5,9,2,2026-02-23T00:45:27.502Z,2026-02-23T00:45:27.502Z,2026-02-23T00:45:27.502Z,0.72,0.00,0.72,369.7,0.0020,32.83,2,4.18,1.21,297,0.67,2.43,1.08,49.78,8.85,14.65,2.05,35.32,127.65,B,31.3,95,5,503,No,No,N/A,Production,2026-02-23 00:45:27
Repo-Alpha-03,Unknown,Cap-Core,Infrastructure,OK,New Repos,109,5,10,2,2026-02-23T00:45:27.502Z,2026-02-23T00:45:27.502Z,2026-02-23T00:45:27.502Z,0.35,0.00,0.35,20.4,0.0170,43.70,7,2.50,9.31,502,0.57,0.55,0.52,50.90,8.00,5.41,2.38,36.11,130.51,A,30.2,41,0,311,No,No,N/A,Production,2026-02-23 00:45:27
Repo-Alpha-04,Unknown,Cap-Core,Application,OK,New Repos,4,0,2,0,2026-02-23T00:45:27.502Z,,2026-02-23T00:45:27.502Z,0.00,0.00,0.00,0.0,0.0000,28.58,8,0,0,0,0,4.83,0,0,8.99,4.50,0,0,0,A,3.7,37,0,295,No,No,N/A,Production,2026-02-23 00:45:27
Repo-Beta-01,Unknown,Cap-Storage,Infrastructure,OK,New Repos,96,5,12,3,2026-02-23T00:45:27.502Z,2026-02-23T00:45:27.502Z,2026-02-23T00:45:27.502Z,1.84,0.00,1.84,61.7,0.0299,7.14,1,3.35,3.12,70,2.51,2.43,2.77,44.73,7.08,10.22,0.62,31.73,114.69,B,3.5,44,2,293,No,No,N/A,Production,2026-02-23 00:45:27
Repo-Beta-02,Unknown,Cap-Storage,Unknown,OK,New Repos,0,0,0,0,,,2026-02-23T00:45:27.502Z,0.00,0.00,0.00,0.0,0.0000,0,0,0,0,0,0,0,0,0,4.43,5.08,0,0,0,A,38.1,173,0,420,No,No,N/A,Production,2026-02-23 00:45:27
Repo-Beta-03,Unknown,Cap-Storage,Infrastructure,OK,New Repos,107,5,4,2,2026-02-23T00:45:27.502Z,2026-02-23T00:45:27.502Z,2026-02-23T00:45:27.502Z,13.55,0.00,13.55,12.2,1.1079,23.07,11,2.00,9.15,181,2.18,3.00,20.33,50.22,4.30,10.00,1.59,35.63,128.77,A,34.4,57,0,440,No,No,N/A,Production,2026-02-23 00:45:27
Repo-Gamma-01,Unknown,Cap-Ingestion,Infrastructure,OK,New Repos,114,5,7,1,2026-02-23T00:45:27.502Z,2026-02-23T00:45:27.502Z,2026-02-23T00:45:27.502Z,0.15,0.00,0.15,83.2,0.0018,11.30,14,3.07,0.95,402,3.29,0.32,0.22,53.48,6.17,8.84,0.93,37.94,137.12,B,30.9,134,4,319,No,No,N/A,Production,2026-02-23 00:45:27
Repo-Gamma-02,Unknown,Cap-Ingestion,Application,OK,New Repos,6,2,5,2,2026-02-23T00:45:27.502Z,2026-02-23T00:45:27.502Z,2026-02-23T00:45:27.502Z,8.25,0.00,8.25,236.3,0.0349,12.46,7,2.96,5.95,163,0.48,2.30,12.38,40.22,0.17,1.83,0.79,28.53,103.13,C,18.0,16,2,397,No,No,N/A,Production,2026-02-23 00:45:27
Repo-Delta-01,Unknown,Cap-Reporting,Infrastructure,OK,Match,107,5,9,1,2026-02-23T00:45:27.502Z,2026-02-23T00:45:27.502Z,2026-02-23T00:45:27.502Z,0.31,0.00,0.31,11.9,0.0259,50.63,6,1.95,7.55,120,1.82,3.07,0.46,49.88,9.98,7.15,1.50,35.39,127.91,B,15.2,59,2,366,No,No,N/A,Production,2026-02-23 00:45:27
Repo-Alpha-05,Unknown,Cap-Core,Infrastructure,OK,Match,1,0,13,2,2026-02-23T00:45:27.502Z,,2026-02-23T00:45:27.502Z,0.73,0.00,0.73,373.0,0.0020,10.29,3,2.69,7.10,88,1.46,1.36,0,0,6.51,13.77,0.88,0,0,A,38.6,133,0,347,No,No,N/A,Production,2026-02-23 00:45:27
Repo-Alpha-06,Unknown,Cap-Core,Infrastructure,OK,Match,1,0,18,2,2026-02-23T00:45:27.502Z,,2026-02-23T00:45:27.502Z,0.38,0.00,0.38,22.1,0.0170,27.84,15,4.17,5.07,476,3.11,4.52,0,0,11.26,15.79,0.93,0,0,A,17.3,195,0,422,No,No,N/A,Production,2026-02-23 00:45:27
Repo-Alpha-01,Unknown,Cap-Core,Application,OK,New Repos,76,5,9,1,2026-02-24T00:45:27.502Z,2026-02-24T00:45:27.502Z,2026-02-24T00:45:27.502Z,2.80,0.00,2.80,136.8,0.0205,35.00,12,3.97,3.58,276,1.23,3.54,4.20,44.81,7.08,11.12,2.52,40.17,144.21,B,10.1,145,5,175,No,No,N/A,Production,2026-02-24 00:45:27
Repo-Alpha-02,Unknown,Cap-Core,Infrastructure,OK,New Repos,93,5,9,2,2026-02-24T00:45:27.502Z,2026-02-24T00:45:27.502Z,2026-02-24T00:45:27.502Z,0.63,0.00,0.63,324.3,0.0020,23.20,5,1.39,8.11,61,2.02,0.07,0.95,40.59,4.64,2.58,0.54,36.39,130.62,C,27.7,179,4,395,No,No,N/A,Production,2026-02-24 00:45:27
Repo-Alpha-03,Unknown,Cap-Core,Infrastructure,OK,New Repos,106,5,10,2,2026-02-24T00:45:27.502Z,2026-02-24T00:45:27.502Z,2026-02-24T00:45:27.502Z,0.34,0.00,0.34,20.0,0.0170,49.25,4,3.46,10.70,164,1.92,0.22,0.51,46.23,10.06,15.21,1.17,41.45,148.79,A,27.1,115,0,396,No,No,N/A,Production,2026-02-24 00:45:27
Repo-Alpha-04,Unknown,Cap-Core,Application,OK,New Repos,5,0,2,0,2026-02-24T00:45:27.502Z,,2026-02-24T00:45:27.502Z,0.00,0.00,0.00,0.0,0.0000,30.12,19,0,0,0,0,5.56,0,0,9.00,15.81,0,0,0,B,25.8,9,2,173,No,No,N/A,Production,2026-02-24 00:45:27
Repo-Beta-01,Unknown,Cap-Storage,Infrastructure,OK,New Repos,111,5,12,3,2026-02-24T00:45:27.502Z,2026-02-24T00:45:27.502Z,2026-02-24T00:45:27.502Z,2.15,0.00,2.15,71.9,0.0299,12.42,17,4.23,4.99,294,1.26,3.89,3.22,48.44,3.27,14.54,0.71,43.43,155.89,C,19.9,89,1,191,No,No,N/A,Production,2026-02-24 00:45:27
Repo-Beta-02,Unknown,Cap-Storage,Unknown,OK,New Repos,0,0,0,0,,,2026-02-24T00:45:27.502Z,0.00,0.00,0.00,0.0,0.0000,0,0,0,0,0,0,0,0,0,6.62,2.91,0,0,0,A,19.5,199,0,210,No,No,N/A,Production,2026-02-24 00:45:27
Repo-Beta-03,Unknown,Cap-Storage,Infrastructure,OK,New Repos,82,5,4,2,2026-02-24T00:45:27.502Z,2026-02-24T00:45:27.502Z,2026-02-24T00:45:27.502Z,10.30,0.00,10.30,9.3,1.1079,14.92,11,2.11,5.79,166,2.11,3.21,15.45,35.47,7.48,1.32,0.92,31.80,114.14,C,23.9,175,3,99,No,No,N/A,Production,2026-02-24 00:45:27
